"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 03 18:02:54 +0000 2014",451781905630105600,"-",1969037472,"CAN UYSAL","CanUysalprofil","BURSA",36063,20280,"Fri Oct 18 15:24:44 +0000 2013","Istanbul","131516","http://pbs.twimg.com/profile_images/446364765523562496/jn019tjP_normal.jpeg",null,null,null
"Thu Apr 03 18:02:54 +0000 2014",451781905617522700,"RT @Librartes ""Pocos escritores más grandes que Gabriel García Márquez hemos conocido en los últimos tiempos  "" http://t.co/yQIxCw5ZeF",159459964,"Joserra González","krilintxu","",434,1370,"Fri Jun 25 12:40:52 +0000 2010","Amsterdam","C0DEED","http://pbs.twimg.com/profile_images/438665860320739328/QrmpNTNy_normal.jpeg",null,null,null
"Thu Apr 03 18:02:54 +0000 2014",451781905617539100,"RT @ssbrr5: كل شيء عندنا مزيف حتى \nالمكـان اللي عايشيـن فـيه \nمو جزيره ، شبه جزيره *",1357955900,"نواف العتيبي ","a50_b50","",2859,3081,"Tue Apr 16 21:49:42 +0000 2013","Baghdad","C0DEED","http://pbs.twimg.com/profile_images/439132926199234560/jCeZAmq0_normal.jpeg",null,null,null
"Thu Apr 03 18:02:54 +0000 2014",451781905629724700,"@Elviii_naaa check bbm cobak:3 w mau curhat",448655501,"Silva Ellida","Silvaaellida","",653,298,"Wed Dec 28 07:00:06 +0000 2011","Bangkok","FF6699","http://pbs.twimg.com/profile_images/451406716996182016/AHkUTQvo_normal.jpeg",{"type":"Point","coordinates":[-8.0741325,111.90916458]},{"type":"Point","coordinates":[111.90916458,-8.0741325]},{"id":"a30344e9b071a840","url":"https://api.twitter.com/1.1/geo/id/a30344e9b071a840.json","place_type":"city","name":"Tulungagung","full_name":"Tulungagung, Tulungagung","country_code":"ID","country":"Indonesia","contained_within":[],"bounding_box":{"type":"Polygon","coordinates":[[[111.869184,-8.090007],[111.869184,-8.060856],[111.920214,-8.060856],[111.920214,-8.090007]]]},"attributes":{}}
"Thu Apr 03 18:02:55 +0000 2014",451781909807656960,"RT @Trezzzypnfhoe: Shit crazy how some ppl act. But ayy karma a bitch and shit its just life. Fuck ya",1166958072,"KillaCope ","_bcope","Being A Mommy",543,617,"Sun Feb 10 20:40:39 +0000 2013","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/451452957129981954/uPSMhpFW_normal.jpeg",null,null,null
"Thu Apr 03 18:02:55 +0000 2014",451781909811851260,"RT @55ajan: Lakin bedelli Askerlikle ilgili çalışmayı iktidar yapacaktır söylemleri o yöndedir",1361436608,"BedelliAskerlik2014K","yurtici277","Türkiye Cumhuriyeti",1591,1936,"Thu Apr 18 09:08:08 +0000 2013","Athens","C0DEED","http://pbs.twimg.com/profile_images/447349293909680130/Sz0Td-9F_normal.jpeg",null,null,null
"Thu Apr 03 18:02:55 +0000 2014",451781909832806400,"http://t.co/FaKmg2N9yL УСТАНОВИТЬ ГРМ ЗМЗ 405",1055798815,"Milena","dashka_ti_16144","",0,1,"Wed Jan 02 18:34:38 +0000 2013",null,"C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png",null,null,null
"Thu Apr 03 18:02:55 +0000 2014",451781909845393400,"RT @sa3d3a: نهتم بزياده متابعينك ماعليك ال تسوي رتويت لتغريداتنا http://t.co/pP3RxdtF9W وسجل واترك الباقي وشوف متابعينك كم بيصيرون #اقوى_ان…",636722946,"__حَـاء ","3umryAna","حيثَ أتنفس ..",289,127,"Mon Jul 16 02:46:12 +0000 2012","Baghdad","131516","http://pbs.twimg.com/profile_images/446758848976941056/K-JfAbbS_normal.jpeg",null,null,null
"Thu Apr 03 18:02:55 +0000 2014",451781909820244000,"Я собрал 38 300 золотых монет! Кто из вас сможет больше? http://t.co/e2PUwMbLyK #ipad, #ipadgames, #gameinsight",1436329615,"Ololo Ololoev","ololo_evasichka","",0,1,"Fri May 17 18:03:44 +0000 2013",null,"C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png",null,null,null
"Thu Apr 03 18:02:55 +0000 2014",451781909841199100,"RT @diaryforteens: It’s ridiculous that celebrities can spend a year of my college tuition on like, a necklace like it’s nothing and I can’…",1738779547,"J .✨","_Jocelyn_x33","",285,337,"Sat Sep 07 00:30:15 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/446390293567655938/Fpft0ofx_normal.jpeg",null,null,null
